# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here
#
#
EkectroniclBreakbeatlJungle|Electronic;Breakbeat;Jungle
Folk, World And Country|Folk, World & Country
Blue-grass|Bluegrass
Roots Regga|Roots Reggae
Political|Political
Dark Ambientl|Dark Ambient
Industrial:Wave|Industrial;Wave
Electroacoustic|Electroacoustic
Field Recordings|Field Recording
Electronic'Ambient|Electronic;Ambient
Electyronic|Electronic
Industriasl|Industrial
Hard Techno|Hard Techno
Classical, Romantic|Classical, Romantic
Rock Blues|Rock Blues
Americana|Americana
Folk, World, And Country|Folk, World, & Country
Lo-FiNoise|Lo-Fi;Noise
Non-music|Non-music
Radioplay|Radioplay
Experimerntal|Experimental
AcousticElectronic|Acoustic;Electronic
Electronic;Rock;Krautrock;Experimental Rock;Avant-Funk;Psychede|Electronic;Rock;Krautrock;Experimental Rock;Avant-Funk;Psychedelic Rock
Psychede|Psychedelic Rock
Avant-Funk|Avant-Funk
Folk Rock:Modern Classical|Folk Rock;Modern Classical
lpop|Pop
lPop|Pop
LPop|Pop
Progressive|Progressive
.|Rock
2011|Electronic
6 Mix|6 Mix;Electronic
6 Music|6 Music;Electronic
???|Electronic
A|Rock
Jazz / Vocal|Jazz / Vocal
Hard-Bop|Hard-Bop
A Cappella|A cappella
Abstarct|Abstract
Abstract|Abstract
Acid|Acid
Acid House|Electronic;Acid House;House
Acid Jazz|Electronic;Acid Jazz
Acid Punk|Electronic;Acid Punk
Acid Rock|Electronic;Acid Rock
Acid Techno|Electronic;Acid Techno;Techno
Acoustic|Acoustic
Acoustic Alternative|Acoustic Alternative;Acoustic;Alternative
Acoustic Rock|Acoustic Rock;Acoustic;Rock
Adult Contemporary|Adult Contemporary
African|African
Afro-Beat|Afrobeat
Afro-Cuban|Afro-Cuban
Afrobeat|Afrobeat
AFX|Electronic;AFX
Agit-pop|Agit-pop
Alt-Country|Alt-Country;Alt. Country
Alt.Country|Alt-Country;Alt. Country
Alt. Pop|Alt. Pop;Alternative
Alt. Pop/Rock|Alt. Pop;Alt. Rock;Alternative
Alt. Rock|Alt. Rock;Alternative
Alt Rock|Alt. Rock;Alternative
Alt.Rock|Alt. Rock;Alternative
Alt. Rock, Britpop|Alt. Rock;Alternative;Britpop
